game_id,season_year,game_date,home_team_id,away_team_id
0021800797,2018-19,2019-02-05,1610612739,1610612738
0021800798,2018-19,2019-02-05,1610612754,1610612747
0021800799,2018-19,2019-02-05,1610612752,1610612765
0021800800,2018-19,2019-02-05,1610612755,1610612761
0021800801,2018-19,2019-02-05,1610612763,1610612750
0021800802,2018-19,2019-02-05,1610612760,1610612753
0021800803,2018-19,2019-02-05,1610612757,1610612748
0021800804,2018-19,2019-02-06,1610612751,1610612743
0021800805,2018-19,2019-02-06,1610612741,1610612740
0021800806,2018-19,2019-02-06,1610612749,1610612764
0021800807,2018-19,2019-02-06,1610612742,1610612766
0021800808,2018-19,2019-02-06,1610612762,1610612756
0021800809,2018-19,2019-02-06,1610612758,1610612745
0021800810,2018-19,2019-02-06,1610612744,1610612759
0021800811,2018-19,2019-02-07,1610612754,1610612746
0021800812,2018-19,2019-02-07,1610612753,1610612750
0021800813,2018-19,2019-02-07,1610612737,1610612761
0021800814,2018-19,2019-02-07,1610612738,1610612747
0021800815,2018-19,2019-02-07,1610612760,1610612763
0021800816,2018-19,2019-02-07,1610612757,1610612759
0021800817,2018-19,2019-02-08,1610612765,1610612752
0021800818,2018-19,2019-02-08,1610612755,1610612743
0021800819,2018-19,2019-02-08,1610612764,1610612739
0021800820,2018-19,2019-02-08,1610612751,1610612741
0021800821,2018-19,2019-02-08,1610612742,1610612749
0021800822,2018-19,2019-02-08,1610612756,1610612744
0021800823,2018-19,2019-02-08,1610612740,1610612750
0021800824,2018-19,2019-02-08,1610612758,1610612748
0021800825,2018-19,2019-02-09,1610612762,1610612759
0021800826,2018-19,2019-02-09,1610612754,1610612739
0021800827,2018-19,2019-02-09,1610612737,1610612766
0021800828,2018-19,2019-02-09,1610612752,1610612761
0021800829,2018-19,2019-02-09,1610612738,1610612746
0021800830,2018-19,2019-02-09,1610612741,1610612764
0021800831,2018-19,2019-02-09,1610612763,1610612740
0021800832,2018-19,2019-02-09,1610612745,1610612760
0021800833,2018-19,2019-02-09,1610612749,1610612753
0021800882,2018-19,2019-02-23,1610612755,1610612757
0021800883,2018-19,2019-02-23,1610612737,1610612756
0021800884,2018-19,2019-02-23,1610612766,1610612751
0021800885,2018-19,2019-02-23,1610612739,1610612763
0021800886,2018-19,2019-02-23,1610612764,1610612754
0021800887,2018-19,2019-02-23,1610612740,1610612747
0021800888,2018-19,2019-02-23,1610612748,1610612765
0021800889,2018-19,2019-02-23,1610612741,1610612738
0021800890,2018-19,2019-02-23,1610612760,1610612758
0021800891,2018-19,2019-02-23,1610612749,1610612750
0021800892,2018-19,2019-02-23,1610612744,1610612745
0021800893,2018-19,2019-02-23,1610612762,1610612742
0021800894,2018-19,2019-02-24,1610612761,1610612753
0021800895,2018-19,2019-02-24,1610612743,1610612746
0021800896,2018-19,2019-02-24,1610612752,1610612759
0021800897,2018-19,2019-02-25,1610612766,1610612744
0021800898,2018-19,2019-02-25,1610612739,1610612757
0021800899,2018-19,2019-02-25,1610612765,1610612754
0021800900,2018-19,2019-02-25,1610612751,1610612759
0021800901,2018-19,2019-02-25,1610612748,1610612756
0021800902,2018-19,2019-02-25,1610612741,1610612749
0021800903,2018-19,2019-02-25,1610612745,1610612737
0021800904,2018-19,2019-02-25,1610612763,1610612747
0021800905,2018-19,2019-02-25,1610612750,1610612758
0021800906,2018-19,2019-02-25,1610612740,1610612755
0021800907,2018-19,2019-02-25,1610612746,1610612742
0021800908,2018-19,2019-02-26,1610612752,1610612753
0021800909,2018-19,2019-02-26,1610612761,1610612738
0021800910,2018-19,2019-02-26,1610612743,1610612760
0021800911,2018-19,2019-02-27,1610612766,1610612745
0021800912,2018-19,2019-02-27,1610612737,1610612750
0021800914,2018-19,2019-02-27,1610612751,1610612764
0021800915,2018-19,2019-02-27,1610612748,1610612744
0021800913,2018-19,2019-02-27,1610612738,1610612757
0021800916,2018-19,2019-02-27,1610612763,1610612741
0021800917,2018-19,2019-02-27,1610612759,1610612765
0021800918,2018-19,2019-02-27,1610612742,1610612754
0021800919,2018-19,2019-02-27,1610612762,1610612746
0021800920,2018-19,2019-02-27,1610612758,1610612749
0021800921,2018-19,2019-02-27,1610612747,1610612740
0021800922,2018-19,2019-02-28,1610612754,1610612750
0021800923,2018-19,2019-02-28,1610612753,1610612744
0021800924,2018-19,2019-02-28,1610612752,1610612739
0021800925,2018-19,2019-02-28,1610612745,1610612748
0021800927,2018-19,2019-02-28,1610612760,1610612755
0021800926,2018-19,2019-02-28,1610612743,1610612762
0021800928,2018-19,2019-03-01,1610612737,1610612741
0021800929,2018-19,2019-03-01,1610612751,1610612766
0021800930,2018-19,2019-03-01,1610612761,1610612757
0021800931,2018-19,2019-03-01,1610612738,1610612764
